beat_index;bar;beat_in_bar;time_s;strength;strength_norm;accent;section;active_line_id;nearest_line_id;nearest_line_offset_ms
74;18;3;31.764898;12.195040;0.6340;medium;intro_sung;012;012;1205
75;18;4;32.182857;15.383170;0.8429;strong;intro_sung;012;013;-1377
76;19;1;32.647256;21.055689;1.0000;strong;intro_sung;012;013;-913
77;19;2;33.088435;5.472563;0.1934;light;intro_sung;012;013;-472
78;19;3;33.529615;10.321547;0.5112;medium;intro_sung;012;013;-30
79;19;4;33.970794;10.220095;0.5045;medium;intro_sung;013;013;411
80;20;1;34.411973;23.612400;1.0000;strong;intro_sung;013;013;852
81;20;2;34.876372;2.254117;0.0000;light;intro_sung;013;013;1316
82;20;3;35.317551;0.000000;0.0000;light;intro_sung;013;013;1758
83;20;4;35.758730;10.315305;0.5108;medium;intro_sung;013;014;-1801
84;21;1;36.199909;10.299404;0.5097;strong;intro_sung;013;014;-1360
85;21;2;36.641088;4.497772;0.1295;light;intro_sung;013;014;-919
86;21;3;37.082268;2.363417;0.0000;light;intro_sung;013;014;-478
87;21;4;37.546667;11.279608;0.5740;medium;intro_sung;013;014;-13
88;22;1;37.987846;10.905943;0.5495;strong;intro_sung;014;014;428
89;22;2;38.429025;6.713967;0.2748;light;intro_sung;014;014;869
90;22;3;38.870204;8.698668;0.4048;light;intro_sung;014;014;1310
91;22;4;39.311383;11.514580;0.5894;medium;intro_sung;014;014;1751
92;23;1;39.752562;16.256371;0.9001;strong;intro_sung;014;015;-1807
93;23;2;40.193741;5.016380;0.1635;light;intro_sung;014;015;-1366
94;23;3;40.634921;3.419708;0.0589;light;intro_sung;014;015;-925
95;23;4;41.099320;10.824289;0.5441;medium;intro_sung;014;015;-461
96;24;1;41.540499;11.002863;0.5558;strong;intro_sung;014;015;-20
97;24;2;41.981678;8.050705;0.3624;light;intro_sung;015;015;422
98;24;3;42.422857;12.711507;0.6678;medium;intro_sung;015;015;863
99;24;4;42.864036;12.512612;0.6548;medium;intro_sung;015;015;1304
100;25;1;43.328435;9.496675;0.4571;strong;intro_sung;015;015;1768
101;25;2;43.769615;5.834248;0.2171;light;intro_sung;015;016;-1371
102;25;3;44.210794;9.343546;0.4471;light;intro_sung;015;016;-930
103;25;4;44.651973;11.349438;0.5785;medium;intro_sung;015;016;-489
104;26;1;45.093152;10.093319;0.4962;strong;intro_sung;015;016;-48
105;26;2;45.557551;0.000000;0.0000;light;intro_sung;016;016;417
106;26;3;46.045170;3.789768;0.0832;light;intro_sung;016;016;904
107;26;4;46.463129;1.290910;0.0000;light;intro_sung;016;016;1322
108;27;1;46.881088;5.792591;0.2144;strong;intro_sung;016;017;-1679
109;27;2;47.322268;7.281817;0.3120;light;intro_sung;016;017;-1238
110;27;3;47.763447;12.955072;0.6838;medium;intro_sung;016;017;-797
111;27;4;48.204626;17.587746;0.9873;strong;intro_sung;016;017;-355
112;28;1;48.645805;21.797026;1.0000;strong;verse_1;017;017;86
113;28;2;49.086984;2.114139;0.0000;light;verse_1;018;018;333
114;28;3;49.504943;2.796120;0.0180;light;verse_1;018;018;751
115;28;4;49.969342;11.386894;0.5810;medium;verse_1;018;019;-335
116;29;1;50.433741;8.567054;0.3962;strong;verse_1;019;019;130
117;29;2;50.874921;9.088747;0.4304;light;verse_1;019;019;571
118;29;3;51.316100;12.535754;0.6563;medium;verse_1;019;020;-539
119;29;4;51.757279;17.519077;0.9828;strong;verse_1;019;020;-98
120;30;1;52.198458;9.569692;0.4619;strong;verse_1;020;020;343
121;30;2;52.662857;5.199040;0.1755;light;verse_1;020;020;808
122;30;3;53.104036;7.705983;0.3398;light;verse_1;020;021;-456
123;30;4;53.545215;12.128994;0.6296;medium;verse_1;020;021;-15
124;31;1;53.986395;13.707870;0.7331;strong;verse_1;021;021;426
125;31;2;54.427574;11.168940;0.5667;medium;verse_1;021;021;868
126;31;3;54.868753;14.218410;0.7665;medium;verse_1;021;022;-691
127;31;4;55.309932;18.669205;1.0000;strong;verse_1;021;022;-250
128;32;1;55.751111;14.565082;0.7893;strong;verse_1;022;022;191
129;32;2;56.215510;8.773071;0.4097;light;verse_1;022;022;656
130;32;3;56.633469;23.842300;1.0000;strong;verse_1;022;023;-927
131;32;4;57.097868;14.233263;0.7675;medium;verse_1;022;023;-462
132;33;1;57.539048;15.610065;0.8577;strong;verse_1;022;023;-21
133;33;2;57.980227;2.122807;0.0000;light;verse_1;023;023;420
134;33;3;58.398186;5.817921;0.2161;light;verse_1;023;023;838
135;33;4;58.862585;3.581130;0.0695;light;verse_1;023;024;-697
136;34;1;59.303764;12.859085;0.6775;strong;verse_1;023;024;-256
137;34;2;59.768163;9.777432;0.4755;light;verse_1;024;024;208
138;34;3;60.209342;13.276379;0.7048;medium;verse_1;024;024;649
139;34;4;60.650522;16.403637;0.9097;strong;verse_1;024;025;-659
140;35;1;61.091701;16.533415;0.9183;strong;verse_1;024;025;-218
141;35;2;61.532880;3.677578;0.0758;light;verse_1;025;025;223
142;35;3;61.974059;15.839295;0.8728;strong;verse_1;025;025;664
143;35;4;62.415238;14.247225;0.7684;medium;verse_1;025;026;-645
144;36;1;62.856417;12.814581;0.6746;strong;verse_1;025;026;-204
145;36;2;63.320816;5.500904;0.1953;light;verse_1;026;026;261
146;36;3;63.761995;13.697394;0.7324;medium;verse_1;026;026;702
147;36;4;64.203175;13.235142;0.7021;medium;verse_1;026;027;-607
148;37;1;64.644354;11.594702;0.5946;strong;verse_1;026;027;-166
149;37;2;65.085533;0.000000;0.0000;light;verse_1;027;027;276
